"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Top-N recommendation algorithm based on graph convolutional network that integrates basic user information","J. Xu; T. Wang; C. Su; Z. Zhang; X. Cheng","Inner Mongolia University, Hohhot, China; Inner Mongolia University, Hohhot, China; Inner Mongolia University, Hohhot, China; Inner Mongolia University of Finance and Economics, Hohhot, China; Inner Mongolia University, Hohhot, China",2021 2nd International Symposium on Computer Engineering and Intelligent Communications (ISCEIC),"16 Nov 2021","2021","","","230","235","In order to solve the problem of data sparseness and cold start of the collaborative filtering model, many methods have been proposed, but most of them ignore the user attribute similarity and the user preference. The accuracy of recommendation needs to be improved. Most of researches stay in simple linear modeling of the relationship between users and items, and does not consider the influence of auxiliary information on the recommendation algorithm. In our real life, users preferences are affected by age, gender, and personality. Environment, social circle, etc.In this work, we design a Top-N recommendation algorithm LNGCF-B (light neural graph collaborative filtering with user basic information). Firstly, different from traditional graph convolutional collaborative filtering algorithm, the simplified version is more explanatory, the training time is shortened. Secondly, this algorithm considers the attributes of the user, experiments show that LNGCF-B is better than the baseline algorithm. In our social life, there are many different types of networks, under different network models, the performance of the recommendation algorithm is also different. However, there are few researches on the performance of recommendation algorithms in different scenarios. We use LNGCF-B on two data sets belonging to different network models. The results show that the list recommended by the algorithm on the Movielens 100K data set belonging to the scale-free network has a higher degree of relevance, and the Facebook friend relationship data set belonging to the small world network has a higher recall rate.","","978-1-6654-4160-5","10.1109/ISCEIC53685.2021.00055","Natural Science Foundation of Inner Mongolia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599155","Collaborative filtering;Graph neural network;Top-N;Recommendation;Neural Recommender Model","Training;Social networking (online);Convolution;Collaborative filtering;Computational modeling;Benchmark testing;Filtering algorithms","","1","","13","IEEE","16 Nov 2021","6-8 Aug. 2021","6-8 Aug. 2021","IEEE","IEEE Conferences"
"Generating Human Daily Activities with LLM for Smart Home Simulator Agents","H. Yonekura; F. Tanaka; T. Mizumoto; H. Yamaguchi","Osaka University, Suita, Japan; Osaka University, Suita, Japan; Chiba Institute of Technology, Narashino, Japan; Osaka University, Suita, Japan",2024 International Conference on Intelligent Environments (IE),"23 Jul 2024","2024","","","93","96","This paper presents a novel approach to smart home simulation by integrating Large Language Models (LLMs) for generating human daily schedules and activities of smart home simulator agents. The use of LLMs aims to reduce the complexity of user settings and increase the variety and generality of generated activities. This study explores the potential of LLMs to simulate human-like activity-generating by exploiting their experiential knowledge and adaptability. In addition, this paper discusses fine-tuning techniques for LLMs to optimize their performance within a simulator. By utilizing LoRA and task-specific fine-tuning datasets, while maintaining the ability to generate proper activities, we achieve as much as 4.3% performance improvement about the number of queries. Overall, the integration of LLMs into smart home simulators offers promising opportunities for enhancing the intelligence and adaptability of virtual agents in smart home environments.","2472-7571","979-8-3503-8679-0","10.1109/IE61493.2024.10599909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10599909","Generative AI;Large Language Model(LLM);Smart Home Simulator","Schedules;Adaptation models;Large language models;Diversity reception;Decision making;Smart homes;Complexity theory","","4","","14","IEEE","23 Jul 2024","17-20 June 2024","17-20 June 2024","IEEE","IEEE Conferences"
"Context-Aware AI for Real-Time Content and Quiz Recommendations in Student Learning Environments","A. Memeti; I. Neziri; N. Ajruli; K. Huseini; A. Nuhi; A. Iljazi","University of Tetova, Tetova, North Macedonia; University of Tetova, Tetova, North Macedonia; University of Tetova, Tetova, North Macedonia; University of Tetova, Tetova, North Macedonia; University of Tetova, Tetova, North Macedonia; University of Tetova, Tetova, North Macedonia",2025 3rd Cognitive Models and Artificial Intelligence Conference (AICCONF),"10 Jul 2025","2025","","","1","4","The paper presents a context-aware AI system designed to dynamically recommend course material and generate quizzes in real-time, based on the individual student interaction and performance. The proposed model integrates generative AI capability with a previously developed Learning Management System (LMS), using Blazor components for seamless user interface presentation and real-time system updates. Through the processing of contextual data such as enrolled courses, student activity, history, and participation patterns, the system acquires insight to generate intelligent content blocks and short quizzes tailored to the immediate needs of the learner. The artificial intelligence engine, which is built on large language models, is infused through guided questions that solicit recommended topics and related quiz items. Upon login by students, the dashboard includes an interactive ""Subject explanation"" panel, allowing real-time provision of AI-generated resources and quizzes, visually integrated using Blazor’s conditional rendering feature. This article describes the system design, implementation sequence, and deployment at the University of Tetova, illustrating how cognitive-aware AI can engage learners more and facilitate adaptive learning routes through autonomous, scalable learning augmentation.","","979-8-3315-0969-9","10.1109/AICCONF64766.2025.11063980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063980","Artificial Intelligence;Context-Aware Learning;Generative Models;Blazor components;Adaptive Assessment;Real-Time Recommendation;Personalized Education","Learning management systems;Adaptive learning;Adaptation models;Adaptive systems;System dynamics;Large language models;User interfaces;Real-time systems;Artificial intelligence;Context modeling","","","","12","IEEE","10 Jul 2025","13-14 June 2025","13-14 June 2025","IEEE","IEEE Conferences"
"LITHE: An Agile Methodology for Human-Centric Model-Based Systems Engineering","A. L. Ramos; J. V. Ferreira; J. Barceló","Research Unit on Governance Competitiveness and Public Policies-Department of Economics Managementand Industrial Engineering, University of Aveiro, Aveiro, Portugal; Research Unit on Governance Competitiveness and Public Policies-Department of Economics Managementand Industrial Engineering, University of Aveiro, Aveiro, Portugal; Department of Statistics and Operations Research, Technical University of Catalonia, Barcelona, Spain","IEEE Transactions on Systems, Man, and Cybernetics: Systems","12 Apr 2013","2013","43","3","504","521","This paper proposes an agile model-based systems engineering (SE) methodology (LITHE methodology) to engineer the contemporary large, complex, and interdisciplinary systems of systems. The methodology relates the processes, the methods, and the tools in order to support an effective model-based development context. The LITHE uses a universal and intuitive SE base process, reducing the complexity and intricacy of the base methods, emphasizing the agile principles such as continuous communication, feedback and stakeholders' involvement, short iterations, and rapid response, and rousing the utilization of a coherent system model developed through the benchmark systems graphical modeling languages. Aiming to support the development of successful systems, which satisfy the stakeholders' expectations, the methodology is particularly concerned with human systems integration, so the related fundamental aspects are considered throughout the engineering process. The LITHE methodology also includes a supporting graphical tool that aims to be an agile instrument to be used by systems engineers in a model-based development environment. To illustrate the effectiveness of the proposed methodology and to provide some validation, an empirical case study related with the development of a real large and complex system (the Guiding Urban Intelligent Traffic and Environment system) is also described.","2168-2232","","10.1109/TSMCA.2012.2207888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6301771","Human systems integration (HSI);methodology;model-based systems engineering (SE) (MBSE);Systems Modeling Languages (SysMLs)","Unified modeling language;Object oriented modeling;Software;Standards;Analytical models;Humans","","17","","18","IEEE","12 Sep 2012","May 2013","","IEEE","IEEE Journals"
"An Analytical Framework for Personalized and Explainable AI Tutors Using Large Language Models in Digital Education","S. T; K. Rajakumari","Department of Computer Applications, Bharath Institute of Higher Education and Research (BIHER), Chennai, Tamil Nadu, India; Department of Computer Applications, Bharath Institute of Higher Education and Research (BIHER), Chennai, Tamil Nadu, India",2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),"17 Feb 2026","2025","","","1","9","As traditional Intelligent Tutoring Systems (ITSs) are rule-based, inflexible, and opaque, these are unable to satisfy the increasing demand for individualized learning. These reduced student trust and engagement since these systems demonstrated a lack of responsiveness to the real behavior of students in the moment and were unable to defend the chosen teaching strategies. The study overcomes these limitations through study to customize a new AI teaching framework that employs explainable AI (SHAP), reinforcement learning for adaptive strategy selection, real-time processing for learner tracking, and large language models (LLMs). The proposed system has dynamic learner profile analysis to modify its instructional content and offers human-readable explanations of its modifications. It validates the proposed system performance and demonstrates that it exceeds baseline systems by 28.7% in accuracy, maintains high satisfaction levels (4.8/5), and retains users (85.6%). The model beats standard ITS in terms of accuracy, explainability, and user engagement metrics, confirming its capacity to deliver individualized, captivating, and reliable digital teaching experiences.","","979-8-3315-6070-6","10.1109/ICECONF65644.2025.11379461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11379461","Personalized Learning;Explainable AI;Intelligent Tutoring Systems;Digital Education;Educational Technology;Adaptive Learning;Human-AI Interaction;Learning Analytics","Training;Accuracy;Explainable AI;Large language models;System performance;Semantics;Reinforcement learning;Learning (artificial intelligence);Real-time systems;Standards","","","","15","IEEE","17 Feb 2026","9-10 Oct. 2025","9-10 Oct. 2025","IEEE","IEEE Conferences"
"On-Device Intent Reasoning for Smart Home Agents Via Ontology-Augmented sLLMs","D. Jeong; H. Woo","Department of Computer Science and Engineering, Sungkyunkwan University, Suwon, South Korea; Department of Computer Science and Engineering, Sungkyunkwan University, Suwon, South Korea",IEEE Access,"25 Nov 2025","2025","13","","197645","197662","Large language model (LLM)-based agents offer powerful natural language understanding for smart home intent interpretation but typically require cloud deployment, raising concerns over privacy, latency, and resource usage. While sLLM can run on-device, they lack the structured contextual knowledge needed to handle ambiguous intents and complex device interactions effectively. To address this limitation, we present CIDER, an ontology-augmented, on-device intent reasoning framework that combines an sLLM with common-sense device knowledge and user-specific context, organized within a structured ontology-based knowledge graph. Specifically, we develop an ontology construction pipeline for smart homes, which leverages cloud-based LLMs to extract and organize common-sense knowledge about smart home devices and integrates user-specific context from a smart home service. The resulting ontology serves as an external knowledge source that augments the sLLM’s intent reasoning process in a retrieval-augmented manner, enabling context-aware inference for autonomous, orchestrated device operation. In evaluations with SmartThings-based testbeds, CIDER achieves a success rate of 82.2% in general scenarios and 76.6% in highly complex home environments, outperforming strong cloud-based baselines by up to 17.7 percentage points, despite relying on a compact on-device sLLM. These results demonstrate that combining the domain-specific efficiency of symbolic knowledge representations with the flexible semantic processing of an sLLM, empowered by an ontology distilled from cloud-based LLMs, provides an effective approach to intent understanding in smart homes.","2169-3536","","10.1109/ACCESS.2025.3634621","SmartThings, Samsung Electronics Company Ltd; Institute of Information and Communications Technology Planning and Evaluation (IITP); Korean Government, MSIT(grant numbers:RS-2022-II220043 (2022-0-00043)); Adaptive Personality for Intelligent Agents(grant numbers:RS-2022-II221045 (2022-0-01045)); Self-Directed Multi-Modal Intelligence for Solving Unknown, Open Domain Problems(grant numbers:RS-2025-25442569); Artificial Intelligence (AI) Star Fellowship Support Program through Sungkyunkwan University; National Research Foundation of Korea (NRF); Korean Government, Ministry of Science and ICT (MSIT)(grant numbers:RS-2023-00213118); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11259048","Smart home agents;large language models (LLMs);intent understanding;context awareness;device task planning;ontology for smart homes","Smart homes;Cognition;Privacy;Ontologies;Planning;Automation;Pipelines;Large language models;Knowledge graphs;Clouds","","","","39","CCBYNCND","19 Nov 2025","2025","","IEEE","IEEE Journals"
"Interactive Behavior Modeling for Vulnerable Road Users With Risk-Taking Styles in Urban Scenarios: A Heterogeneous Graph Learning Approach","Z. Li; J. Gong; Z. Zhang; C. Lu; V. L. Knoop; M. Wang","School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; Department of Transport and Planning, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Delft, The Netherlands; Chair of Traffic Process Automation, “Friedrich List” Faculty of Transport and Traffic Sciences, TU Dresden, Dresden, Germany",IEEE Transactions on Intelligent Transportation Systems,"2 Aug 2024","2024","25","8","8538","8555","The deep understanding of the behaviors of traffic participants is essential to guarantee the safety of automated vehicles (AV) in mixed traffic with vulnerable road users (VRUs). Precise trajectory prediction of traffic participants can provide reasonable solution space for motion planning of AV. Early works mainly focused on handcrafting the feature representation and designing complicated architectures in deep learning-based prediction models. However, these approaches overlooked the fact that different road users perceive the safety of the same interaction differently and also exhibit heterogeneous risk-taking styles. In this paper, we will develop a model for trajectory prediction based on risk-taking styles. The model accounts for the expected positions and occupancy of traffic participants in the surrounding environment. It consists of two sequential steps: risk-taking styles of multi-modal road users under interactive scenes are first clustered, and then reformulated in the heterogeneous graph model for trajectory prediction. The model is validated by the driving data collected on the urban road using a public dataset. Comparative experiments demonstrate that the proposed method can predict the trajectory of traffic participants much more accurately than the state-of-the-art methods.","1558-0016","","10.1109/TITS.2024.3399481","National Natural Science Foundation of China(grant numbers:52372405,52272411); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10537107","Vulnerable road users;risk-taking behaviors;interactive behavior modeling;heterogeneous graph model;trajectory prediction","Predictive models;Trajectory;Long short term memory;Roads;Planning;Safety;Pedestrians","","5","","42","IEEE","22 May 2024","Aug. 2024","","IEEE","IEEE Journals"
"Combining Ontological Knowledge and Large Language Model for User-Friendly Service Robots","H. Nakajima; J. Miura","Department of Computer Science and Engineering, Toyohashi University of Technology; Department of Computer Science and Engineering, Toyohashi University of Technology",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","4755","4762","Lifestyle support through robotics is an increasingly promising field, with expectations for robots to take over or assist with chores like floor cleaning, table setting and clearing, and fetching items. The growth of AI, particularly foundation models, such as large language models (LLMs) and visual language models (VLMs), is significantly shaping this sector. LLMs, by facilitating natural interactions and providing vast general knowledge, are proving invaluable for robotic tasks. This paper focuses on the benefits of LLMs for ""bring-me"" tasks, where robots fetch specific items for users, often based on ambiguous instructions. Our previous efforts utilized an ontology extended to handle environmental data to resolve such ambiguities, but faced limitations when unresolvable ambiguities required user intervention for clarity. Here, we enhance our approach by integrating LLMs for providing additional commonsense knowledge, pairing it with ontological data to mitigate the issue of hallucinations and reduce the need for user queries, thus improving system usability. We present a system that merges these knowledge bases and assess its efficacy on ""bring-me"" tasks, aiming to provide a more seamless and efficient robotic assistance experience.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802273","","Visualization;Service robots;Foundation models;Large language models;Knowledge based systems;Ontologies;Usability;Intelligent robots;Floors;Commonsense reasoning","","2","","29","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"A Prompt-Driven Modular Framework for LLM-Based Agents in Scalable Interactive Learning Systems","Y. Li; W. Kusakunniran; A. Wiratsudakul; S. Intagorn","Faculty of Information and Communication Technology, Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology, Mahidol University, Nakhon Pathom, Thailand; Faculty of Veterinary Science, Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology, Mahidol University, Nakhon Pathom, Thailand",2025 5th International Conference on Advanced Algorithms and Neural Networks (AANN),"1 Dec 2025","2025","","","459","466","This paper presents a prompt-driven modular architecture for integrating Large Language Model (LLM)-powered agents into adaptive learning systems. The framework enables real-time, context-aware dialogue and feedback through natural language configuration, eliminating the need for retraining or code changes. It features a four-layer design—covering environment control, agent logic, UI/UX, and feedback—implemented in a Unity-based learning application. A case study in medical education demonstrates how structured prompt templates support agent role assignment, behavior definition, and fallback strategies. Evaluation includes prompt reusability, dynamic role switching, and LLM accuracy comparison across multiple models, which show high correctness on domain-specific tasks. The system also supports low-cost deployment, making it feasible for scalable and accessible intelligent learning environments. This work offers a generalizable and configurable agent design method, contributing to the development of LLMintegrated tutoring systems and broader applications in natural language-driven interactive learning.","","979-8-3315-9736-8","10.1109/AANN66429.2025.11257597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11257597","Large Language Models;Prompt Engineering;Modular Agent Architecture;Interactive Learning Systems;Real-Time Natural Language Feedback","Learning systems;Accuracy;Statistical analysis;Large language models;Natural languages;Transforms;Switches;Real-time systems;Usability;Testing","","","","14","IEEE","1 Dec 2025","15-17 Aug. 2025","15-17 Aug. 2025","IEEE","IEEE Conferences"
"Intelligent Agents based Integration of Machine Learning and Case Base Reasoning System","K. S. Kaswan; J. S. Dhatterwal; A. Balyan","School of Computing Science & Engineering, Galgotias University, Greater Noida, India; Department of Computer Science & Applications, PDM University, Bahadurgarh, India; Chitkara University Institute of Engineering & Technology, Chitkara University, Punjab, India",2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),"18 Jul 2022","2022","","","1477","1481","Agents technologies are essential in learning and case base reasoning components to use incritical elements of the Cognitive knowledge base. The possibility of integrating several technologies into a basic structure that makes a kernel of an intelligent strategy. An alternative design is proposed in this paper to form the basis intelligent system that would operate in complex environment. This structure is very flexible because it allows adaptation via learning and alteration of the user knowledge. This paper used intelligent agent-based machine learning techniques to select the best suppliers and for further process seed it in case base. In this paper, we will also discuss the framework of machine learning techniques and CBR (Case Based-Reasoning) integrates with intelligent agents improving the resulting quality to solve highly complex problems.","","978-1-6654-3789-9","10.1109/ICACITE53722.2022.9823890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9823890","Multi-agent;Machine Learning;Case Base Reasoning;Java Agent Development Frame Work;jColibri","Scalability;Knowledge based systems;Machine learning;Cognition;Intelligent agents;Kernel;Intelligent systems","","14","","29","IEEE","18 Jul 2022","28-29 April 2022","28-29 April 2022","IEEE","IEEE Conferences"
