"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Evaluation of Ontology-based User Preferences and Profiling System in a Smart Home","O. O. Festus; O. O. Amos; U. C. Kingsley; O. O. Roseline; M. K. Desmond; A. Solomon","Computer Science Department, Pan Atlantic University, Lagos, Nigeria; Computer Science Department, Middlesex University, London, UK; Computer Science Department, Pan Atlantic University, Lagos, Nigeria; Department of Computer Science, University of Benin, Benin City, Nigeria; Computer Science Department, Pan Atlantic University, Lagos, Nigeria; Technology Department, Greenoak International School, Port Harcourt, Nigeria",2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),"24 Mar 2025","2024","","","1","5","In the concept of smart home systems, this study has highlighted a research gap with notable markings to the inadequacies associated with personalizing the static-centric preferences of users in real time. Consequently, the study leverages the intersection of ontology and user preferences on smart home semantics to serve as a knowledge base for a dynamic user preference system. A mixed-method approach was utilized, incorporating the “Noy and McGuinness” model with a case-based method for development. Elaborating on the capabilities of the ontology-based preferencing system with notable markings to scenario-based evaluations, two distinct user scenarios were modelled to demonstrate the user adaptability with regards to preferences in smart space, using the “Smart Space Lab” as a testbed for the study. The evaluation was based on scenarios that featured two user-centric preferences: the lighting state of a smart bedroom and the heating state of a smart kettle device. The outcome of the evaluation compellingly establishes the solution’s capability to accomplish dynamism in user profiles and preferences. The results extend significant ontological impact across varying applications, that include adaptive user interfaces, recommender systems, and smart labs. The findings are with potential advancement in the automation of the smart home industry, paving the way for more user-centric and cohesive interactions within smart spaces. Nonetheless, several challenges were identified in the study, highlighting the need for further research into the evaluation of the developed application for privacy measures that pertain to the refinement of ontological considerations in the deployment of ontology-based systems within smart environments.","2377-2697","979-8-3315-4255-9","10.1109/NIGERCON62786.2024.10927055","Middlesex University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927055","ontology;intelligent environment;smart homes;user preferences;user profiling","Industries;Adaptation models;Automation;Smart homes;Ontologies;User interfaces;Real-time systems;User experience;User preference;Smart spaces","","","","26","IEEE","24 Mar 2025","26-28 Nov. 2024","26-28 Nov. 2024","IEEE","IEEE Conferences"
"User portrait-driven smart home device deployment optimization and spatial interaction design","L. Zhang; Q. Meng","East China Normal University, Shanghai, China; School of Architecture and Design, University of Technology Sydney, Sydney, Australia","2025 5th International Conference on Artificial Intelligence, Automation and High Performance Computing (AIAHPC)","18 Dec 2025","2025","","","724","728","This study proposes a deployment optimization model tailored to personalized smart home environments, guided by user profile data. The model integrates multi-dimensional inputs, including static attributes (n=15), behavioral sequences (length L=96, embedding dimension d=128), and preference tags (vector size k=64). It aims to enhance both device placement efficiency and spatial interaction effectiveness. The approach leverages dual-stream feature encoding, a reinforcement learning policy network, and a synergistic mechanism combining Gaussian Process Regression (GPR) and Q-learning. Experimental results indicate that the optimization reduces average communication latency from 61.2 ms to 38.5 ms and decreases energy consumption by 22.4%, demonstrating significant improvements in system responsiveness and energy efficiency. Based on the behavioral data of 500 users, the experimental results demonstrate that the proposed method significantly improves interaction accuracy (up to 93.1%) and resource scheduling efficiency (hit rate increased to 91.2%), compared to baseline strategies.","","979-8-3503-9237-1","10.1109/AIAHPC66801.2025.11290248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11290248","user profiling;smart home;device deployment optimization;spatial interaction design","Performance evaluation;Adaptation models;Q-learning;Accuracy;Layout;Collaboration;Smart homes;Stability analysis;Encoding;Optimization","","","","10","IEEE","18 Dec 2025","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"RAG-based User Profiling for Precision Planning in Mixed-precision Over-the-Air Federated Learning","J. Yuan; Y. Tang; W. Guo","Faculty of Engineering and Applied Sciences, Cranfield University, United Kingdom; Faculty of Engineering and Applied Sciences, Cranfield University, United Kingdom; Faculty of Engineering and Applied Sciences, Cranfield University, United Kingdom",2025 IEEE 102nd Vehicular Technology Conference (VTC2025-Fall),"6 Jan 2026","2025","","","1","5","Mixed-precision computing, a widely applied technique in AI, offers a larger trade-off space between accuracy and efficiency. The recent purposed Mixed-Precision Over-theAir Federated Learning (MP-OTA-FL) enables clients to operate at appropriate precision levels based on their heterogeneous hardware, taking advantages of the larger trade-off space while covering the quantization overheads of the mixed-precision modulation scheme with the OTA aggregation process. A key to further exploring the potential of the MP-OTA-FL framework is the optimization of client precision levels. The choice of precision level hinges on multifaceted factors including hardware capability, potential client contribution, and user satisfaction, among which factors can be difficult to define or quantify.In this paper, we propose a precision planning framework that integrates Retrieval-Augmented Generation (RAG) LLMs and dynamic client profiling to optimize satisfaction and contributions. This includes a hybrid interface for gathering device/user insights and an RAG database storing historical quantization decisions with feedback. Experiments show that our method boosts satisfaction, energy savings, and global model accuracy in MP-OTA-FL systems.","2577-2465","979-8-3315-0320-8","10.1109/VTC2025-Fall65116.2025.11310436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11310436","Federated Learning;Human-centred;LLM Agent","Quantization (signal);Accuracy;Federated learning;Wireless networks;Retrieval augmented generation;Energy conservation;Hardware;Planning;Vehicle dynamics;Optimization","","","","11","IEEE","6 Jan 2026","19-22 Oct. 2025","19-22 Oct. 2025","IEEE","IEEE Conferences"
"Analyzing User Interests and Emotions for Product Recommendations Based on Interactive Social Media Content","A. A. Hassan Abd El-Rahman; G. A. El Khayat; Y. A. El–Ghaffar","Information Systems and Computers Department, Faculty of Commerce, Alexandria University, Alexandria, Egypt; Information Systems and Computers Department, Faculty of Commerce, Alexandria University, Alexandria, Egypt; Information Systems and Computers Department, Faculty of Commerce, Alexandria University, Alexandria, Egypt",2025 International Conference on Machine Intelligence and Smart Innovation (ICMISI),"19 Aug 2025","2025","","","75","82","Online social networks have witnessed remarkable growth, with millions of users sharing data daily. This has significantly impacted social commerce, which combines online shopping with social networking to connect businesses and customers. Businesses leverage recommendation systems to examine purchase histories and propose products that capture customer interest. However, traditional product recommendation systems have two main drawbacks: repetitive recommendations and difficulty in predicting new items, generally known as the cold-start problem. Another problem that faces the user's topical interests and behavior mining is representing the user's content through the bag-of-words model, which may include items in the predicted interests that the user no longer finds interesting. In this paper, we introduce a new framework for building user profiles that capture both explicit and implicit topics of interest, providing insights into users' needs. Additionally, the framework identifies five emotional scores-joy, anger, sadness, fear, and disgust-that characterize each user and are used to create personality profiles. We investigate the possibility of determining the interests of users who are not active on social networks called cold-start users. We utilize real-world user data from Twitter (X) and focus on interactive tweets to enhance the accuracy of interest and emotion detection by introducing a novel scoring mechanism for tweet interactivity. This framework represents an intermediate stage in our research, serving as a foundation for future work in building a comprehensive product recommendation system. Results presented in this paper are very promising.","","979-8-3315-2349-7","10.1109/ICMISI65108.2025.11115465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115465","User Interest;User emotions;User profiling;Automatic personality recognition system;Bag-of-Words Model;Cold-Start","Emotion recognition;Technological innovation;Social networking (online);Buildings;Blogs;Information sharing;Bag of words model;Recommender systems;Machine intelligence;Business","","","","34","IEEE","19 Aug 2025","10-12 May 2025","10-12 May 2025","IEEE","IEEE Conferences"
"Knowledge inference from home appliances data","C. Firte; L. Iamnitchi; R. Portase; R. Tolas; R. Potolea; M. Dinsoreanu; C. Lemnaru","Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca; Computer Science Department, Technical University, Cluj-Napoca",2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),"1 Mar 2023","2022","","","237","243","Due to technological advances, massive amount of data is recorded in all areas. Not only the manufacturing processes are monitored and can benefit from data augmentation, but also the utilisation of products produce large amounts of information rich data. With the right set of skills and processing strategies, valuable process-related information can be extracted from such data. However, before applying any complex processing tasks such as user profiling, raw data needs to be preprocessed, and knowledge needs to be extracted. In this paper, we propose a set of steps for knowledge extraction from home appliances data, focusing on user and appliance specific data.","2766-8495","978-1-6654-6437-6","10.1109/ICCP56966.2022.10053977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053977","Knowledge inference;big data;data mining;usage patterns;user clustering;sensor monitoring;appliances data","Home appliances;Technological innovation;Manufacturing processes;Pipelines;Focusing;Space exploration;Behavioral sciences","","4","","15","IEEE","1 Mar 2023","22-24 Sept. 2022","22-24 Sept. 2022","IEEE","IEEE Conferences"
"Cost-Sensitive User Modeling for Predicting Phishing Susceptibility","F. Ahmad; Y. Yang; A. Abbasi","Human-centered Analytics Lab, University of Notre Dame, Notre Dame, IN, USA; Dept. of ISOM, HK Univ. of Sci. and Tech., Hong Kong; Human-centered Analytics Lab, University of Notre Dame, Notre Dame, IN, USA",2025 IEEE International Conference on Intelligence and Security Informatics (ISI),"21 Oct 2025","2025","","","141","144","User susceptibility to phishing poses challenges for security in organizational and consumer environments. Recent work on user modeling has demonstrated the potential for predicting user engagement behaviors with phishing threats (e.g., click through rates). In this study, we adopt a cost-sensitive user modeling framework for predicting user susceptibility to phishing attacks. Our framework includes three model cost-benefit levels, including asymmetric false positive/negative costs, as well as user-threat heterogeneity in the form of model architecture design as well as inclusion of instance-level costs. Results on a large organizational testbed spanning 19 months and 86,604 user-phishing encounters related to over 1,000 employees reveals that the proposed framework is able to predict user phishing URL clicks/engagement more accurately and precisely than benchmark methods, resulting in markedly lower misclassification costs. The results have important implications for security behavior prediction research and practice.","2837-6617","979-8-3315-1276-7","10.1109/ISI65680.2025.11201138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11201138","cost-sensitive machine learning;user modeling;phishing susceptibility;predictive analytics;anti-phishing","Uniform resource locators;Analytical models;Costs;Phishing;Machine learning;Predictive models;Benchmark testing;Security;Predictive analytics;Informatics","","","","29","IEEE","21 Oct 2025","12-13 July 2025","12-13 July 2025","IEEE","IEEE Conferences"
"Design of College User Portrait System Based on Data Centers","Y. Tang; Q. Shu; R. Ye; L. Chen","Taizhou Vocational and Technical College, Taizhou, China; Taizhou Vocational and Technical College, Taizhou, China; Taizhou Vocational and Technical College, Taizhou, China; Tiantai County Fuxi Community Central Primary School, Taizhou, China","2024 International Conference on Electrical Drives, Power Electronics & Engineering (EDPEE)","31 May 2024","2024","","","152","155","With the development of information technology and the construction of smart campuses in universities for many years, university data centers have accumulated a certain amount of data. How to use these data to serve our teaching, management, and academic research is of great significance. This article adopts the MVC design pattern and uses the current popular Springboot + Thymeleaf framework for development. The ultimate implementation is a university user profiling system that can flexibly set up data sources and support multiple data mining algorithms for label mining. Practice has proven that this design has strong reusability and scalability, and can meet the needs of college personnel for user portrait systems.","","979-8-3503-9563-1","10.1109/EDPEE61724.2024.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539677","College user portrait;Data centers;Springboot;Thymeleaf;AJAX","Data centers;Databases;Soft sensors;Scalability;Education;Data mining;Personnel","","","","12","IEEE","31 May 2024","27-29 Feb. 2024","27-29 Feb. 2024","IEEE","IEEE Conferences"
"Federated Learning for Privacy-Preserving User Modeling in Mobile Applications","V. K. Pasupuleti; S. Chinnasamy","University of Cumberlands; BITS, Rajasthan",2025 First International Conference of Advances in Engineering and Computing Technologies for Sustainable Development (AECTSD),"3 Mar 2026","2025","","","1","5","Federated Learning (FL) has become a privacy-preserving model of training user models on mobile applications without the disclosure of raw data. This paper is an empirical assessment of an FL model that addresses mobile user modeling, including prediction of user activities and personalization of applications. The technique allows maintaining privacy, yet it provides high predictive power, by training models on the devices of the users and combining updates via the FedAvg algorithm to use updates aggregation. The results of experiments on non-IID mobile interaction datasets are compared between FL and centralized and local-only training. Findings indicate that FL has an accuracy of 88 per cent which is just below the 90 per cent of the centralized model but it enhances privacy and minimizes the risk of data exposure. Evaluations at the system level indicate moderate communication overhead and show acceptable convergence with and under heterogeneity of devices. The paper affirms that FL presents a good tradeoff between the protection of privacy and predictive utility thus it is appropriate to current mobile ecosystems. Improved FL in the future incorporates personalized FL, model compression, and secures aggregation strategies.","","979-8-3315-8156-5","10.1109/AECTSD65988.2025.11410725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11410725","Federated Learning;Mobile Application;Privacy;User Modeling","Training;Privacy;Federated learning;Computational modeling;Predictive models;Prediction algorithms;Data models;Mobile applications;Sustainable development;Protection","","","","18","IEEE","3 Mar 2026","11-13 Dec. 2025","11-13 Dec. 2025","IEEE","IEEE Conferences"
"Research on Communication Strategy of Computing Advertising Scene Based on Artificial Intelligence","A. Militsyn; V. Potekhin; C. Haodong; A. Militsyn; V. S. Karpukhin; M. Xiaoyu","Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia; Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia; Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia; Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia; Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia; Control in Technical Systems, Peter the Great St.Petersburg Polytechnic University, Saint Petersburg, Russia",2025 XXVIII International Conference on Soft Computing and Measurements (SCM),"8 Jul 2025","2025","","","412","417","The integration of artificial intelligence (AI) with computing advertising has revolutionized the advertising landscape, transforming it from traditional dissemination to intelligent scene-based communication. This paper investigates AI-driven computing advertising strategies, proposing a framework for scenario-based communication. Key elements include scene insight, content selection, and community operation. Through case studies and theoretical analysis, we explore practical implementations and challenges, providing insights into future developments.","","979-8-3315-2667-2","10.1109/SCM66446.2025.11060357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11060357","Artificial Intelligence;Computing Advertising;Scene Communication;User Profiling;Marketing Strategy","Industries;Regulators;Law;Safety;Security;Advertising;Artificial intelligence;Sustainable development;Monitoring;Standards","","","","15","IEEE","8 Jul 2025","28-30 May 2025","28-30 May 2025","IEEE","IEEE Conferences"
"Personalized News Headline Generation System with Fine-grained User Modeling","J. Yao","School of Computer Science, The University of Sydney, Sydney, Australia","2022 18th International Conference on Mobility, Sensing and Networking (MSN)","29 Mar 2023","2022","","","581","585","Personalized news headline generation aims to sum-marize a news article as a news headline, according to the preference of a specific user. It can help users filter their interested news quickly and increase the news click rates for news providers. However, in this field, when learning user interests from their historically clicked news, existing research only learned user interests on word and news level, ignoring sentence level informativeness. This paper proposes a user model, adding sentence-level informativeness to learn user interests, and further guide the news headline generation. To be more detailed, based on attention layers, sentence and news are represented as the weighted sum of word and sentence representations, respectively. To further explore the correlation between different news contents (news title, body, and topic information), the query vectors in the attention layers are replaced by news content. Experiments on the dataset PENS show that the performance of these two models is better than the baseline model on the evaluation metrics ROUGE. Finally, some future directions are discussed, including interactions across informativeness levels and contents.","","978-1-6654-6457-4","10.1109/MSN57253.2022.00097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076626","Personalized news headline generation;user modeling;text summarization;hierarchy","Measurement;Correlation;Sensors","","","","23","IEEE","29 Mar 2023","14-16 Dec. 2022","14-16 Dec. 2022","IEEE","IEEE Conferences"
